,TetheringMM,EnclosureMM,TetheringFF,EnclosureFF,TetheringFM,TetheringMF,SSTMM,SSEMM,SSTFF,SSEFF,SSTFM,SSTMF
No signalling,0.08,0.29,0.25,0.58,0.2,0,1,4,3,10,3,0
Signalling,0.92,0.71,0.75,0.42,0.8,1,12,10,9,7,12,9
Flaps flared,0,0,0,0,0,0,0,0,0,0,0,0
