Date,Species,Location,GPS,Bag#,ID,Time,TailSignal,FlapsFlared,Sex,SVL,tail tip length,Tail,HW,HL,HH,right flap height,right flap length,Mass,Bodytemp,DorsalTemp,BellyTemp,Biteforce1,BF2,BF3,BF4,Bodytemp2,Bodytemp2trials,DNA,Tag#,Notes
21/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,13,25,1126,no,yes,m,80,31,86,19.63,21.68,12.56,7.7,8.72,19.2,34,NA,NA,24,20.8,23.6,NA,NA,NA,,,
21/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,37,28,1145,no,no,f,70,26,71,17.64,20.14,12.56,6.33,7.53,13.9,36,NA,NA,19,19.3,NA,NA,NA,NA,,,
21/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,97,27,1202,no,yes,f,69,26,69,18.35,19.66,13.45,6.65,7.04,17.1,32.8,NA,NA,23.3,11.4,19.9,NA,NA,NA,,,
21/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,62,20,1210,no,yes,f,72,23,70,18.22,21.64,12.27,6.34,6.99,17,33.2,NA,NA,24,21.8,NA,NA,NA,NA,,,
21/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,127,21,1051,no,"yes, 1/2",f,67,24,68,18.35,20.16,12.48,6.51,7.71,14.1,33.2,NA,NA,11.3,8,9.9,NA,NA,NA,,,1/2 flare during capture
23/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,8,36,1010,"no, buried sand",no,f,72,19,69,18.75,20.16,13.52,6.8,8.34,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"presented with male30; then buried itself, caught by hand"
23/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,37,37,1025,no,1/2 flare,m,78,28,81,19.73,21.89,15.1,7.99,9.01,20.3,33.1,NA,NA,24.5,21.8,17.9,14.9,NA,NA,,,"presented with male30, female36; then buried itself, caught by hand"
23/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,43,38,1205,yes,1/2 flare,m,79,29,83,20.53,21.75,13.29,6.34,7.32,20.2,33.2,NA,NA,25.3,13.5,27.5,NA,NA,NA,,,"presented with male23, female36; noosed"
23/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,85,39,1740,no,no flare,m,77,30,84,19.12,22.21,14.14,6.17,7.58,22.2,34.5,NA,NA,14.1,15,25.1,22.5,NA,NA,,,
24/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,5,40,1137,no,no,m,71,20,67,18.24,19.62,11.91,6.49,7.69,14.3,32.5,NA,NA,17.6,9.6,22.5,18.3,21.4 BF4,NA,,,
24/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,127,41,1251,no,no,m,72,28,75,18.55,19.94,12.33,9.48,9.5,15.4,32.5,NA,NA,12.6,16,19.1,NA,NA,NA,,,missing left flap. 
25/02/12,Phrynocephalus mystaceus,Tukai Desert Site 2,,130,42,1135,NA,NA,m,74,23,74,18.4,20.85,11.87,6.38,6.94,14,31.8,NA,NA,20.9,18.4,NA,NA,NA,NA,,,
27/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,53,43,1218,NA,NA,f,58,23,63,15.36,17.39,10.31,5.7,6.59,7.8,32.8,NA,NA,9.4,12.6,12.1,12.5,NA,NA,,,
29/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,5,44,1215,NA,NA,m,92,33,95,21.19,24.81,15.14,7.31,9.08,25.6,30.8,NA,NA,32,29.8,32,NA,NA,NA,,,
29/06/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,44,45,1343,NA,NA,f,72,25,75,19.74,20.98,15.96,7.75,9.41,16.1,30.6,NA,NA,14,23.1,17.4,NA,NA,NA,,,"lost lots of condition, preserved: MJW1155."
1/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,130,48,1300,NA,NA,m,73,23,75,19.43,21.51,12.37,6.5,7.99,16.5,31.4,32.2,30,21.1,17.9,23.3,NA,NA,NA,,,"dune street, burrow; photo"
1/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,94,47,1228,NA,NA,f,60,25,64,15.99,16.27,10.4,6.74,7.53,7.8,31.8,33.4,32.6,6.6,9.1,13.6,NA,NA,NA,,,"dune street, burrow; photo"
1/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,28,46,1117,NA,NA,f,73,27,77,20.43,21.3,13.06,6.62,8.48,15.1,31.2,30.9,30.3,19.8,9.1,23.6,NA,NA,NA,,,"dune street, burrow; photo; died, preserved: MJW1154."
2/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,8,49,1200,NA,NA,m,69,28,78,17.45,19.71,12.5,7.62,8.18,14.7,32.1,33.5,34.4,19.9,NA,NA,NA,NA,NA,,,
2/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,21,50,1252,NA,NA,m,72,25,74,17.01,19.72,11.95,6.66,8.45,16.7,31.4,33.6,33.5,17.9,17.5,18.5,NA,NA,NA,,,
3/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,94,51,1145,NA,NA,m,74,22,79,19.58,20.43,12.54,7.82,7.97,18.8,29.8,32.4,33.5,22.9,NA,NA,NA,NA,NA,,,
3/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,34,53,1135,NA,NA,fj,43,18,57,14.36,16.07,9.62,5.47,5.98,6.7,31.4,31.9,31.7,7,NA,NA,NA,NA,NA,,,
3/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,13,52,1221,NA,NA,mj,62,22,66,16.41,17.95,9.87,4.9,6.89,10.2,31.9,30.7,30,5.3,11.3,12.3,NA,NA,NA,,,flaps during measurement
3/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,85,54,1847,NA,NA,f,78,24,76,20.76,21.74,13.67,5.25,5.72,16,30.2,31.1,31,18.8,25,26.3,NA,NA,NA,,,flaps during measurement
4/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,70,59,1935,NA,NA,f,74,21,69,19.22,20.89,13.32,7.7,6.57,16.6,31.2,32.3,30,12.4,24.4,22,17.4,NA,NA,,,
4/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,76,57,,NA,NA,f,68,24,69,18.21,19.81,12.17,9.31,8.65,13.9,30.4,32.2,32.6,11.5,14,NA,NA,NA,NA,,,
4/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,34,58,1230,NA,NA,fj,56,19,61,16.19,17.04,10.67,7.23,7.91,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,100,56,1207,NA,NA,f,70,24,70,17.67,20.18,12.09,6.35,7.31,16.4,30.4,32,33.1,19.9,NA,NA,NA,NA,NA,,,could be gravid
4/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,28,55,1045,NA,NA,fj,59,21,63,15.91,17.76,10.35,5.5,6.76,8.2,28.8,32.1,32.5,13.4,9.8,13.3,NA,NA,NA,,,
5/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,97,62,1330,NA,NA,f,73,26,75,18.59,19.53,13.41,6.63,7.87,15.5,28,29,28.9,10.9,21.3,20.3,NA,NA,NA,,,
5/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,40,63,1442,NA,NA,f,72,23,70,19.46,21.14,14.21,8.05,10.32,17.4,29.2,30.9,30.7,16.6,NA,NA,NA,NA,NA,,,
5/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,21,61,1130,NA,NA,j,55,22,61,15.19,15.98,10.25,6.57,6.37,7.9,27.6,31.8,30.1,11.5,12.5,10.8,NA,NA,NA,,,
5/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,19,60,1230,NA,NA,f,68,21,68,18.33,19.71,12.37,6.69,7.89,13.8,28.2,21.6,28.3,NA,NA,NA,NA,NA,NA,,,
5/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,64,64,1520,NA,NA,j,62,21,65,16.27,18.2,10.92,6.55,7.09,9.4,28.6,33.8,29.7,14.6,7.4,NA,NA,NA,NA,,,
6/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,70,65,1230,NA,NA,f,78,19,69,20.77,32.74,15.17,8.18,9.4,21,30.4,30,30,24.8,NA,NA,NA,NA,NA,,,
7/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,NA,32,1256,no,right flap,f,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"A few runs before noosing, R flap flare, 1/2 L flap, gaped during noosing, reaction unchanged after 10 nose taps"
7/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,NA,?,1800,no,no,f,74,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Near pebble rd entrance, unmarked but treated as recap, did lots of running and hiding prior to being noosed from under bush, also a failed noose attempt. Gaped whole time but no flap flare."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,90,68,1321,n/a,yes,jf,61,22,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,MJW1156,"Died in bag. Dissected. Largest follicle 2.52 mm, immature. Noosed with just head exposed, full-on flap flare-gape, continued after 10 taps."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,44,71,1456,n/a,n/a,f,75,27,73,19.46,21.84,13.51,7.77,8.89,18.7,22.8,21.4,21.6,12.6,21.3,NA,NA,NA,NA,,,
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,62,70,1403,n/a,n/a,f,77,20,73,18.25,21.34,12.81,6.3,8.54,15.6,22.5,23.6,23.7,8.9,16,15.8,NA,NA,NA,,,"Unusual female with no colour, ie looks like a male."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,5,67,1228,n/a,n/a,m,78,25,77,19.93,20.18,13.18,8.54,8.24,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Bite force not working.
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,64,69,1335,n/a,yes,f,75,25,72,18.68,20.03,12.63,5.17,8.16,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Bite force not working.Old female? Only feintest yellow on tail, no yellow on thighs. Immediate flap-flare-gape then retract, even for 10 taps."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,8,72,1837,no,yes,m,75,27,81,20.85,21.95,13.96,8.37,8.12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,full-on laps flare-gape upon noosing
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,NA,wild,1020,no,yes,m,76,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Could be #61, noosed, full-on flap flare & gape, continued after 10 taps on nose."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,NA,wild,1142,no,"yes, see notes",fj,57,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"1 flap exposed, retracted, then other flap exposed. With 10 taps both flaps exposed."
8/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,NA,wild,1158,no,"yes, briefly",j,65,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Briefly exposed both flaps, retracted them, exposed L flap during 10 taps."
9/07/12,Phrynocephalus mystaceus,Tukai Desert Site 1,,53,73,1043,no,yes,jf,56,20,60,15.07,16.44,10.29,5.46,6.68,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"buried itself, blew sand off head, ran 2 m, noosed. Strong flap flare-gape, continued w/10 taps."
